;cuerpo;fecha;seccion;titulo
0;Hay una cosa que tienen en común estas dos “ángeles”.;12/11/2018;salud;Bella Hadid copió el truco de Naomi Campbell para lograr sus infartantes abdominales
1;El temporal se sintió con fuerza en la provincia. Una capilla de la localidad de El Carmen terminó destruida. Las imágenes llegaron a TN y La Gente. ;12/11/2018;sociedad;Un tornado azotó el norte de Sante Fe
2;Sospechan que le prestó el auto al relacionista público que llevó a la víctima hasta un descampado.;12/11/2018;policiales;Detuvieron a un taxista por la violación de una chica en Junín a la salida de un boliche
3;El ex jugador de Boca, ahora columnista en un programa deportivo, protagonizó un duro entredicho con uno de sus compañeros de trabajo.;12/11/2018;deportes;"El fuerte cruce entre Raúl Cascini y un periodista por la superfinal: ""Dentro de 12 días vamos a hablar"""
4;El gran ícono de los cómics estadounidenses murió este lunes en Los Ángeles, a los 95 años. ;12/11/2018;tecno;"Los ""hijos"" de Stan Lee: de Spiderman a Hulk, los superhéroes que entraron en la historia"
5;Los directivos del organismo auditarán la política económica del Gobierno durante esta semana. En diciembre habilitarían otros u$s 7700 millones. ;12/11/2018;economía;El FMI se reunió con el Banco Central para evaluar cómo funcionaron las bandas del dólar 
6;El fundador de Marvel murió a los 95 años. Dejó un legado de personajes que traspasaron las viñetas, como Iron Man, Hulk y Capitán América, entre otros.;12/11/2018;tecno;Stan Lee, el hombre que le cambió el espíritu a los superhéroes en el cómic y en el cine
7;Tras el empate 2-2 entre Boca y River en la Bombonera, todas las miradas apuntan a la revancha del sábado 24.;12/11/2018;deportes;Néstor Pitana, el árbitro que suena para dirigir la Superfinal y el motivo que lo condiciona
8;"Investigan si el expresidente falsificó facturas de un viaje oficial a París. Para el fiscal, hubo ""comprobantes de pago apócrifos"".";12/11/2018;política;Piden que Amado Boudou vaya a juicio oral por la causa de los viáticos truchos
9;Estela es mamá de cinco nenes. Un grupo de delincuentes le sacó su casa de Tolosa. ;12/11/2018;policiales;"Le usurparon la casa y ahora vive con sus hijos en una camioneta: ""Me fui unas horas y me encontré gente adentro"""
10;Un tribunal de Birmingham, Inglaterra, señaló que ambos padres formaban parte de una organización neonazi ilegal. En diciembre se conocerá la condena.;12/11/2018;internacional;Condenaron a una pareja que nombró a su bebé en honor a Adolf Hitler
11;Además tocaron Death Cab for Cutie, Juan Ingaramo y Warpaint, entre otros. ;12/11/2018;música;Personal Fest: Lorde y MGMT brillaron ante más de 15 mil personas
12;Las canciones de la famosa banda británica se ubicaron en los primeros puestos del ranking.;12/11/2018;música;"Queen destronó al reggaetón gracias a ""Bohemian Rhapsody"""
13;"La policía detuvo al ""Pai"", acusado de asesinar a la víctima en medio de una discusión. ";12/11/2018;policiales;Mataron a un hombre a puñaladas en un templo umbanda de Florencio Varela
14;El Tribunal de Disciplina de la confederación sudamericana abrió un expediente y en breve se definirá si multan al Xeneize o si le suspenden el estadio. ;12/11/2018;deportes;La Conmebol podría sancionar a Boca por la pirotecnia que hubo en la Bombonera 
15;El delantero de Boca había salido con una molestia muscular del encuentro en la Bombonera.;12/11/2018;deportes;Cristian Pavón se desgarró y se perderá la revancha contra River
16;Descansar en exceso puede pasarle factura a tu corazón y a tu cerebro.;12/11/2018;salud;Dormir diez horas o más puede aumentar el riesgo de accidentes cardiovasculares
17;Es importante que no queden húmedos y utilizar calzados que permitan la circulación de aire.;12/11/2018;salud;El motivo por el que debés secarte bien los pies después de mojarlos
18;"Un grupo de turistas se topó en una isla de Tailandia con unos animales de características similares a los ""Ewoks"" de Star Wars.";12/11/2018;internacional;Creyeron que habían encontrado una nueva especie de criaturas marinas pero se llevaron una sorpresa
19;También afectará a otras nueve provincias. Aún hay evacuados por el temporal del fin de semana. ;12/11/2018;sociedad;Hay alerta meteorológica y se esperan fuertes lluvias y tormentas eléctricas para Buenos Aires
20;Connor y Bella decidieron quedarse con el papá. Las explicaciones de la actriz.;12/11/2018;show;Nicole Kidman se defendió de las acusaciones de mala madre: ¿por qué sus hijos viven con Tom Cruise?
21;Un joven mexicano relató las horas dentro del complejo y se volvió viral.;12/11/2018;tecno;Fue al baño en medio de una película y terminó encerrado toda la noche en el cine
22;Así lo estableció el decreto que habilitó el pago del bono de fin de año. El Ejecutivo mediará para asegurar bajo qué condiciones se realizarán esas cesantías.  ;12/11/2018;economía;Los empresarios deberán notificar al Gobierno si prevén despedir empleados
23;El efectivo de la Policía Federal fue sorprendido en el primer cacheo de la Bombonera.;12/11/2018;deportes;El colmo de un bombero: quedó demorado por intentar entrar bengalas al Superclásico
24;Fue el creador de varios de los personajes más importantes de la historieta americana, como Spider-Man, Daredevil, Hulk, Fantastic Four, Black Panther, Thor y los X-Men.;12/11/2018;tecno;Murió Stan Lee, una leyenda del cómic
25;Regirá a partir del martes 20. El Gobierno de la Ciudad oficializó el sendero de incrementos de un peso por mes hasta febrero, cuando quedará en $16,50.;12/11/2018;economía;El subte aumenta $ 1 desde la semana que viene y costará $13,50
26;Una zona erógena masculina a la que no siempre se le da el lugar que merece.;12/11/2018;salud;Qué es el punto P y por qué está rodeado de prejuicios
27;Un ejercicio de estilo jugado.;12/11/2018;autos;Proponen cómo sería una versión actual de la mítica Ferrari F40, ¿va o no va?
28;Fue en la previa del duelo entre Barracas Central y Estudiantes de Buenos Aires, por el torneo de la Primera B Metropolitana. Mirá el video. ;12/11/2018;deportes;El tremendo pelotazo que recibió un periodista en plena transmisión
29;Además de vehículos “enteros”, las exposiciones son una fiesta para los amantes de la mecánica y la técnica. Recopilamos lo mejor para vos.;12/11/2018;autos;Autos cortados, chasis abiertos y motores al desnudo: lo que no viste del Salón de San Pablo
30;Dio directivas erróneas en la terminal aérea. Una vez detectadas, suspendieron las operaciones durante 30 minutos.;12/11/2018;sociedad;Un piloto privado interfirió las comunicaciones en Aeroparque y podría haber provocado una tragedia
31;El entrenador de Boca se refirió al polémico gesto que tuvo el Muñeco luego del empate 2 a 2 en la Bombonera, por la ida de la Superfinal de la Copa Libertadores. ;12/11/2018;deportes;"La reacción de Guillermo Barros Schelotto al ""festejo"" anticipado de Marcelo Gallardo"
32;La Justicia confirmó la pena contra el dirigente piquetero pero ordenó reducir tres meses la sentencia. Se espera que apele la decisión de la Cámara. ;12/11/2018;política;Confirmaron la condena a Luis D'Elia por la toma de la comisaría y quedó al borde de ir a la cárcel
33;Los hinchas del Xeneize se acordaron de una situación que moviliza a todos los fanáticos pero que nada tiene que ver con River.;12/11/2018;deportes;El canto de los hinchas de Boca en la previa de la Superfinal que se volvió viral
34; La toxina botulínica en dosis altas puede provocar parálisis, problemas respiratorios e incluso la muerte.;12/11/2018;salud;Tres mujeres murieron en menos de un mes tras aplicarse botox en Hong Kong
35;El conductor habló por primera vez del embarazo de su hija Morena y contó cómo fueron sus días lejos de la TV.;12/11/2018;show;"Jorge Rial volvió a Intrusos después de su licencia: ""Voy a ser abuelo de un varón y estoy contento"""
36;Los clientes deberán “conocer” a las autómatas antes de la relación. Además, habrá una tarifa diferencial para las robots vírgenes.   ;12/11/2018;tecno;Así será el cabaret con robots sexuales que abriría sus puertas en 2019
37;"Zaira fue baleada por motochorros en un intento de robo. ""Mi hija no se merecía esto"", se lamentó. ";12/11/2018;policiales;"El padre de la piloto de karting asesinada en San Martín: ""No quiero Justicia, sino arrancarles los ojos"""
38;El Gobierno llegó a un acuerdo con UPCN. El plus se pagará en una sola cuota. El incremento salarial será del 5% en enero y de otro 5% en febrero.;12/11/2018;economía;Los empleados públicos cobrarán un bono de $5000 en diciembre y tendrán un aumento paritario de 10%  
39;La banda estrena el tercer corte de difusión de su último trabajo, El show más feliz del mundo.;12/11/2018;música;"La fiesta de Los Caligaris no para: disfrutá de ""Quereme así"", junto a Jorge Serrano"
40;La modelo y el tenista se cruzaron en la noche y hablaron hasta altas horas de la madrugada. ¿El romance del verano? ;12/11/2018;show;Del Potro y Jujuy Jiménez estuvieron juntos en un boliche: ¿nace el amor?
41;Rodrigo Oses tendrá que hacer un tratamiento psicológico y deberá presentarse cada 15 días en el juzgado. Está acusado de homicidio culposo. ;12/11/2018;policiales;Liberaron al hombre que olvidó a su beba en el auto y murió asfixiada 
42;Noelia Pons compartió una imagen de su hijo vestido del fantasma de la B.;12/11/2018;deportes;La mujer de Darío Benedetto publicó un posteo cargando a River con el descenso y le llovieron las críticas
43;Luego de vender el primero en sólo 24 hora, ya confirmaron que el 2 de marzo se vendrá el segundo, también en el Campo de Polo. ;12/11/2018;música;Se va la segunda: Luis Miguel sumó un show en Buenos Aires
44;Fue en Neuquén. El cartel con la amenaza se viralizó y generó repudio en las redes sociales. ;12/11/2018;sociedad;"Denuncian que la administración de un edificio quiere envenenar a los perros de los vecinos porque ""molestan"""
45;Se espera que esté lista para el año que viene.;12/11/2018;autos;La futura pick up del Jeep Wrangler cambia de nombre y así podría ser su diseño
46;La arenga del final del partido a sus compañeros y los buenos minutos que tuvo en cancha le abrieron la puerta para la revancha.;12/11/2018;deportes;Carlos Tevez, el líder que piden muchos hinchas de Boca para ganar en el Monumental
47;Una radio uruguaya transmitió el partido sin sonido ambiente, con música relajante y relatos muy apagados para evitar que los hinchas se descompensaran.;12/11/2018;deportes;"Boca-River: el insólito relato de la Superfinal en ""formato zen"" que cautivó a los pacientes cardíacos"
48;El imputado reaccionó en plena audiencia tras el pedido de perpetua del abogado de la familia de la víctima. ;12/11/2018;policiales;El grito del acusado por el crimen de Lucía Pérez: “Yo no la violé, no la empalé, no la maté”
49;Son policías de la Bonaerense y estuvieron en el momento exacto en el que un camión atropelló a una embarazada y cuando se acercaron en medio de la tragedia vieron que estaba naciendo su bebé.;12/11/2018;policiales;"Los ángeles guardianes de la beba que nació cuando su madre ya estaba muerta: ""La vimos y quisimos salvarla"""
50;" ""El consumo excesivo así como el consumo insuficiente son las mayores causas de resistencia a los antimicrobianos"", advierte la Organización Mundial de la Salud ";12/11/2018;salud;Alerta por el aumento del consumo de antibióticos y el surgimiento de superbacterias
51;El clip tuvo más de un millón de reproducciones y generó comentarios divertidos de dos famosas. ;12/11/2018;show;"Sol Pérez y el video más hot para ""matar"" el aburrimiento un domingo"
52;Estarán dos días en el país. Luego regresan a Chile. Qué modelos hay.;12/11/2018;autos;Una caravana de 27 Ferrari recorre la Patagonia argentina: mirá las fotos y el video
53;Tienen entre 8 y 16 años. Se lanzó una convocatoria en Capital hasta el 7 de diciembre. ;12/11/2018;sociedad;Tres hermanitos buscan que los adopte una familia para no separarse
54;"""La prevención es posible gracias a la vacunación, un estado nutricional satisfactorio y una mejora de los factores medioambientales"", remarca la Organización Mundial de la Salud.";12/11/2018;salud;La neumonía podría matar a 11 millones de chicos en el mundo hasta 2030
55;Las empresas privadas podrán pagarlo en más de dos cuotas. También se acordará una compensación similar para los empleados estatales.;12/11/2018;economía;Mauricio Macri firmó el decreto por el bono de fin de año
56;El fenómeno óptico, conocido como “gloria”, fue capturado desde la Estación Espacial Internacional.  ;12/11/2018;tecno;El espacio también tiene su arcoíris y un astronauta lo fotografió
57;El DT de River no pudo estar en la Bombonera y todavía tiene tres fechas de suspensión que cumplir.;12/11/2018;deportes;Condicionado por la sanción de Conmebol, qué podrá hacer Marcelo Gallardo en la revancha en el Monumental
58;Fue el 3-1 ante el Manchester United, el clásico rival. Guardiolismo en estado puro.;12/11/2018;deportes;El golazo del Manchester City del que habla el mundo: una obra de arte de 44 pases
59;Los agresores eran seis y permanecen prófugos. Un amigo de la víctima también resultó herido.;12/11/2018;policiales;Mataron a puñaladas a un joven de 26 años por una discusión de tránsito en Pilar
60;"El diputado salteño pidió que la Justicia esclarezca las circunstancias en las que un auto lo rozó y luego volcó. ""El impacto fue muy fuerte"", dijo el legislador en una entrevista a TN.";12/11/2018;política;"Alfredo Olmedo, tras el choque que terminó con un muerto: ""Pudo haber sido un atentado"""
61;"Quiere que se lo reconozca como una ""minoría sexual"" que no puede imaginarse tener citas con una mujer de carne y hueso. ";12/11/2018;tecno;La historia del hombre que decidió casarse con un holograma (y la versión peluche)
62;Daniel Mollo se decepcionó al ver lo rápido que River igualó el encuentro, en el primer tiempo.;12/11/2018;deportes;Un relator de Boca enloqueció con el gol de Wanchope Ábila, pero en el empate de Pratto se quedó mudo
63;"El ""conejo malo"" del trap quiere estar muy conectado con sus fans.";12/11/2018;música;Bad Bunny no se bancó el silencio y volvió a Twitter 
64;"""Le tiran el auto encima y pasó lo que pasó"", dijo Rodrigo González, que aseguró que el legislador pensó que lo estaban siguiendo en la autopista Dellepiane.";12/11/2018;política;"El abogado de Alfredo Olmedo dijo que el choque al diputado fue un ""atentado"""
65;La bailarina recibió la puntuación más baja de la historia del certamen en el ritmo de precisión y además la acusaron de copiar a un famoso grupo internacional. ;12/11/2018;show;Bailando 2018 | La espectacular coreografía que Cinthia Fernández habría plagiado
66;La nena sobrevivió, pero tiene secuelas irreversibles. A la madre la pueden condenar a 20 años de prisión.;12/11/2018;internacional;Juzgan a la mujer que escondió en el baúl del auto a su bebé recién nacida durante dos años 
67;"La banda de cumbia pop publicó una versión del clásico de ""El Potro"" ¿Te gusta?";12/11/2018;música;"Los Bonnitos homenajearon a Rodrigo con ""Cómo le digo"""
68;La conductora compartió una postal de toda su familia y quedó demostrado que la adolescente es un calco de la mamá. ;13/11/2018;show;Marcela Tinayre volvió a mostrar una foto de su nieta Ámbar ¡y está igual a Juana Viale!
69;El hombre participó de la manifestación en la que los vecinos de Villa Ballester reclamaron Justicia y mayor seguridad en la zona.;13/11/2018;policiales;"El desgarrador pedido del papá de Zaira Rodríguez tras el crimen de su hija: ""Los jueces tienen que trabajar"""
70;¿Querés saber qué te espera en salud, dinero y amor? Consultá tu signo y preparate para empezar el día.;13/11/2018;sociedad;Horóscopo correspondiente al miércoles 14 de noviembre de 2018
71;Por Lourdes Aguiar | El precio de zapatillas, remeras, shorts y medias por un lado, accesorios por otro y los gastos complementarios: la inscripción en eventos o la contratación de un entrenador.;13/11/2018;deportes;PASIÓN RUNNER: cuánto cuesta ser un corredor
72;El paso entre la Argentina y Chile fue cerrado por las malas condiciones climáticas. Las imágenes llegaron a TN y la gente.;13/11/2018;sociedad;En el medio de una tormenta de nieve, un micro quedó al borde del precipicio cerca del Cristo Redentor
73;El equipo nacional despide el año el viernes y el martes ante el Tri, en Córdoba y Mendoza.;13/11/2018;deportes;Lionel Scaloni probó dos equipos diferentes para el primer amistoso de la Selección argentina con México
74;Utilizó un handy y le dio directivas erróneas a un comandante. La Policía de Seguridad Aeroportuaria adelantó que habrá un protocolo especial para evitar incidentes. ;13/11/2018;política;El piloto privado que interfirió las comunicaciones de Aeroparque encendió las alarmas por el G20
75;Para no quedar desfasada con la competencia, la compañía aplicará desde el miércoles una rebaja en sus estaciones de servicio. Cuánto costará el litro de súper.;13/11/2018;economía;Shell se suma a Axion y bajará 2,7% el precio de sus naftas
76;Se espera una recaudación récord de más de $ 100 millones. ;13/11/2018;deportes;Los hinchas de River empezaron a retirar sus entradas para la final de vuelta de la Copa Libertadores con Boca
77;El artista detalló cuáles fueron las desatenciones que lo llevaron a pecar con otra mujer. ¿Qué respondió la capocómica?;13/11/2018;show;Santiago Bal expuso a Carmen Barbieri en vivo contándole por qué le fue infiel
78;Mariana Rocha Assis, de 21 años, pudo escaparse de su agresor al darle un rodillazo en los testículos. Por la herida, deberá suspender su agenda deportiva. ;13/11/2018;deportes;En Portugal, intentaron violar a una surfer y luego la apuñalaron 
79;Una compañía de seguros realizó un experimento en Nueva York y reveló el método que incrementa las probabilidades de que alguien lo devuelva.;13/11/2018;tecno;Este simple truco aumenta las chances de recuperar el celular si lo perdés
80;"El actor mostró en una entrevista una polémica imagen del recién nacido. ""Es una bestia"", exclamó.";13/11/2018;show;La desubicada foto con la que Marcelo Debellis presentó a su bebé
81;Facundo Ambrosioni compartió una hermosa grabación de la última ecografía y sorprendió a toda la familia.;13/11/2018;show;El dulce video del bebé de Morena Rial en la panza: sexo confirmado
82;Fue en la previa del partido que jugaron de local ante Midland. El enfrentamiento habría sido entre dos facciones de la misma hinchada. ;13/11/2018;deportes;Con ametralladoras, barras de Laferrere amenazaron y robaron a los vecinos de La Matanza
83;Melissa Green tuvo que afrontar los prejuicios de los médicos.;13/11/2018;salud;Tenía lipedema pero tardaron en diagnosticarla porque creyeron que era obesidad
84;Un directivo de la marca de lencería explicó el por qué de la negativa. Referentes de la moda reaccionaron con el iniciativa #Time4RESPECT. ;13/11/2018;show;Repudio contra Victoria's Secret por excluir a chicas trans y modelos XL de sus desfiles 
85;El delantero del Inter está en el país para los amistosos de la Selección contra México. ;13/11/2018;deportes;¿Para Maxi López? La llamativa foto que subió Mauro Icardi a las redes sociales
86;"Esa decisión determinará con qué índice se actualizarán pagos y retroactivos. Anses alertó que un cambio podría poner en peligro ""la sustentabilidad"" del sistema.";13/11/2018;política;La Corte Suprema definirá el 18 de diciembre cómo se deben calcular las sentencias jubilatorias 
87;Generación B desembarcó en La Viola para aportar una mirada alternativa de la escena musical. Esta es la historia de Turf y uno de sus más grandes hitazos.;13/11/2018;música;Historia de un Hit: Turf y los secretos de “Loco un poco”  
88;La supermodelo usó un truco de lo más sencillo.;13/11/2018;salud;Así es como Kendall Jenner dio volumen a su pelo para el desfile de Victoria’s Secret
89; Zaira Rodríguez, novia del corredor de TC Mouras Nicolás Impiombato, recibió un balazo en la cabeza en un intento de asalto.;13/11/2018;policiales;"""Todos somos Zaira"", el masivo reclamo de los vecinos y amigos de la piloto asesinada en Villa Ballester"
90;El ex Boca llegó a la práctica de Uruguay con un cambio de look que despertó las gastadas de sus compañeros. ;13/11/2018;deportes;Nicolás Lodeiro hizo la gran Kun Agüero, se platinó y se transformó en un meme
91;No es un imperativo pero sí un dato a tener en cuenta.;13/11/2018;salud;Esta es la mejor hora del día para tener sexo
92;El periodista y escritor, que ganó el premio Konex de Platino, presentará este jueves su primer libro de poemas Románticos carnívoros. El libro combina un registro épico y lírico para abordar la historia política de la generación de los setenta y otro, más íntimo aún, que traza una especie de autobiografía. ;13/11/2018;sociedad;"Roberto Guareschi: ""Intento que mis poemas lleguen al corazón y a la cabeza y, si es posible, que te peguen en el cuerpo"""
93;"""Fue mal interpretado lo que ocurrió"", dijo el Jefe de Gobierno porteño. La policía había revisado los bolsos del plantel minutos antes del partido. ";13/11/2018;deportes;Horacio Rodríguez Larreta le pidió disculpas a River por la requisa en su vestuario antes de la final con Boca
94;Personal de Defensa Civil la evacuó en un gomón junto a su beba. Una amiga de la mujer se resistió a abandonar la casa.;13/11/2018;sociedad;"El llanto de una madre en medio de la inundación de Laferrere: ""No esperaba vivir esto""	"
95;Estudiaron cómo impactarían los vehículos sin conductor a los albergues transitorios. ;13/11/2018;autos;Los autos autónomos y el sexo: por qué podrían disminuir las visitas a hoteles alojamiento
96;La medida rige para la provincia de Buenos Aires, pero funciona como antecedente para todo el país.;13/11/2018;sociedad;Histórico: la Justicia declaró ilegal el cobro del servicio de mesa
97;Entre música, bailes y foodtrucks, los músicos compartieron sus impresiones sobre el festival. ;13/11/2018;música;Personal Fest: los artistas hablaron con La Viola
98;Nada como una respuesta ingeniosa para lidiar con la gente molesta.;13/11/2018;tecno;Un pasajero exigió un asiento con ventanilla y esta azafata tuvo una brillante solución
99;Claudio Filippa había incitado a empleados de la municipalidad a la violencia sexual contra la trabajadora de prensa. El conflicto entre los dos se habría iniciado por una investigación sobre una estafa millonaria que salpicó al jefe comunal. ;13/11/2018;política;"La periodista agredida por el intendente de Puerto Iguazú lo denunció: ""Siento vergüenza"" "
100;Activistas, organizaciones e internautas iniciaron una campaña para que se haga justicia. Las imágenes pueden herir su sensibilidad. ;13/11/2018;internacional;"Un joven sirio ejecutó ""por honor"" a su hermana y el video del femicidio conmociona al mundo"
101;La nueva pick up compacta ingresará próximamente a la línea de montaje de Brasil, desde donde a futuro llegaría a la Argentina. ;13/11/2018;autos;La Volkswagen Tarok equipará el motor turbodiésel 2.0 litros de la Amarok argentina
102;Tras el temporal, el agua no baja y hay más de 1500 evacuados. Un bebé de ocho meses murió ahogado. ;13/11/2018;sociedad;Los vecinos de Laferrere enfrentan la inundación con balsas hechas de botellas y maderas
103;¿Me pareció ver un lindo gatito? ¡Es cierto, es cierto, vi un lindo gatito!;13/11/2018;tecno;"Pidió un taxi para viajar con un ""gato grande"" y apareció con ¡un leopardo!"
104;El cáncer de mama es una enfermedad con un alto índice de curación detectada a tiempo.;13/11/2018;salud;Concientizan sobre el autoexamen mamario a través del arte
105;Charlie tenía seis años y luchaba contra el cáncer. El pedido de ayuda de su familia movilizó al Reino Unido.;13/11/2018;internacional;La triste despedida del nene que murió en los brazos de su mamá: “Perdón por esto”
106;La principal hipótesis señala que sería un joven que se ahogó mientras intentaba juntar pelotitas.;13/11/2018;policiales;En Pilar, encontraron un cuerpo en una laguna de un campo de golf 
107;Otra noche especial se vivió en La voz argentina. El famoso cantante, integrante del jurado, tuvo que optar entre Gianfranco Nanni y Adalí Montero ¿Quién sigue en el programa?;13/11/2018;música;Ricardo Montaner tuvo una difícil elección que hizo llorar a una participante
108;El conductor se quiso hacer el gracioso y confundió a todos los asistentes.;13/11/2018;tecno;Otro papelón en una entrega de premios: un Youtuber anunció mal al ganador de los eSports Awards
109;La rapidez mental la salvó de irse con el delincuente.;13/11/2018;internacional;Una nena de 11 años evitó ser secuestrada gracias a una palabra clave
110;Una mujer desarrolló lo que hoy se conoce como Método Glifing para que Mario pudiese incorporar contenidos.;13/11/2018;salud;Inventó un videojuego para ayudar a su hijo con dislexia
111;¿Te aburriste de pasar los cambios? Este ranking está hecho para vos. ;13/11/2018;autos;Los 20 autos automáticos más baratos de la Argentina
112;Londres permanecería en la Unión Aduanera para evitar una frontera entre Irlanda e Irlanda del Norte. El documento aún debe ser ratificado a nivel político por ambas partes.;13/11/2018;internacional;"El Reino Unido y la Unión Europea alcanzaron un ""proyecto de acuerdo"" sobre el Brexit"
113;Los aeronavegantes anunciaron que harán nuevas medidas entre las 7 y las 11. Los motivos de la protesta.;13/11/2018;sociedad;"Esperan un ""viernes caliente"" en Aeroparque y Ezeiza por más asambleas gremiales"
114;Farrah Abraham se ausentó a una pelea a beneficio y los organizadores analizan realizarle una demanda.;13/11/2018;deportes;El insólito caso de la exestrella porno que quiso probar con el boxeo y puede perder millones de dólares
115;Con un truco sencillo los usuarios zurdos podrán usar su teléfono o tablet con mayor comodidad.   ;13/11/2018;tecno;Cómo configurar tu dispositivo Android si sos zurdo
116;Otro estudio asegura que si el cambio es extremo, acabaría con casi toda vida en el planeta.;13/11/2018;salud;El cambio climático puede afectar la fertilidad masculina
117;Después de 18 años, una de las mujeres más importantes en la vida del Potro se animó a confirmar una versión que generará revuelo entre los familiares del querido cuartetero.;13/11/2018;show;Patricia Pacheco sorprendió con un dato inesperado sobre los minutos previos a la muerte de Rodrigo
118;La abogada de 54 años fue fusilada de diez disparos en la ciudad de Pedro Juan Caballero. Los emotivos mensajes de despedida que recibió en las redes. ;13/11/2018;internacional;Quién era Laura Casuso, la abogada argentina de capos narcos brasileños que fue asesinada en Paraguay 
119;El hombre podría haber provocado una tragedia. Lo descubrió un colega de Aerolíneas Argentinas.;13/11/2018;sociedad;Detuvieron por segunda vez al piloto privado que interfirió las comunicaciones en Aeroparque
120;La mujer recibió varios disparos, fue trasladada de urgencia y murió en el hospital. Asistía a dos bandas enfrentadas. El informe de Telenoche. LAS IMÁGENES PUEDEN HERIR LA SENSIBILIDAD.;13/11/2018;internacional;Pedro Juan Caballero, la capital del miedo: cómo es el lugar donde mataron a la abogada argentina de narcos brasileños
121;El responsable de la estética de productos como iPhone y iPad trabajó en un accesorio que rondaría 250 mil dólares. Te contamos los detalles.   ;13/11/2018;tecno;El nuevo proyecto de Jony Ive, el diseñador estrella de Apple, es un anillo
122;Ambas marcas los expusieron en el Salón de San Pablo. El detalle de cada uno.;13/11/2018;autos;"Las cruzamos en Brasil: así son las versiones ""aventureras"" de los Ford Ka Sedán y Toyota Yaris"
123;El conductor del Bailando 2018 se molestó con una actitud de su consuegra y se lo hizo saber en pleno programa.;13/11/2018;show;Bailando 2018 | Marcelo Tinelli le hizo un pase de factura en vivo a Florencia Peña: ¿se terminó la amistad?
124;La Justicia concluyó que el empresario desviaba la sustancia a bandas para la producción de drogas de diseño. ;13/11/2018;policiales;Condenaron a Ibar Pérez Corradi a 7 años de cárcel por tráfico de efedrina
125;El delantero, que aún está en duda para jugar, demostró que por nada del mundo quiere perderse el partido.;13/11/2018;deportes;El gesto de Nacho Scocco que enamora a los hinchas de River de cara a la Superfinal de la Libertadores
126;El fin de semana, el ex Independiente sorprendió con un cambio de estilo en el pelo.;13/11/2018;deportes;Javier Mascherano se burló del nuevo look del Kun Agüero y la respuesta fue demoledora
127;Salió rápidamente de una reunión después de hablar por teléfono y luego la mataron. Cuáles fueron sus últimas palabras. ATENCIÓN: LAS IMÁGENES PUEDEN HERIR LA SENSIBILIDAD.;13/11/2018;internacional;"La misteriosa última llamada que recibió la abogada antes de la balacera en Paraguay: ""Voy a tratar de evitar algo más feo"""
128;El ministro de Economía bonaerense, Hernán Lacunza, aseguró que la medida representará un gasto extra de 3 mil millones de pesos. ;13/11/2018;política;"La Provincia y la Ciudad pusieron en duda el pago del bono a estatales: ""Va a depender de la recaudación"""
129;Son de la empreas DOTA y no prestarán servicio hasta las 18.;13/11/2018;sociedad;Pararon unas veinte líneas de colectivos por un conflicto gremial
130;La Justicia de Córdoba determinó que sufrió un brote psicótico, lo declaró inimputable y lo absolvió. La familia de la víctima busca evitar que se reciba.;13/11/2018;policiales;Piden expulsar de la facultad a un hombre que secuestró, violó y torturó a una mujer de 76 años
131;La iniciativa fue presentada por dos legisladores de Cambiemos con el fin de favorecer el comercio durante la temporada alta de turismo en la Provincia de Buenos Aires. ;13/11/2018;sociedad;Proponen ampliar el horario de venta de bebidas alcohólicas durante el verano
132;"Desde 1979, no tenían derecho a acudir a los estadios en Irán. El fiscal general de ese país criticó el hecho y aseguró que puede llevar ""al pecado"". ";13/11/2018;deportes;Irán: tras casi 40 años, las mujeres asistieron a la final de la liga de campeones de Asia
133;Tras su muerte la cuenta oficial de la leyenda de Marvels cómics se despidió como lo hizo infinidad de veces. ¡Excelsior!;13/11/2018;tecno;"El tuit de despedida de Stan Lee que tiene una sola palabra y más de un millón de ""me gusta"""
134;Los nerds están de moda y tu apetito sexual lo sabe.;14/11/2018;salud;¿Te atrae la inteligencia? Seis señales de que sos sapiosexual
135;"Fueron acusado de ""abandono de persona"". El nene está estabilizado y se encuentra fuera de peligro.  ";14/11/2018;policiales;Detuvieron a los papás del bebé de un año intoxicado con cocaína en Berisso
136;Una brigada de la Policía detonó el artefacto hecho con tubos y cables, que fue lanzado frente al domicilio del juez. El agresor, de 26 años, fue detenido. ;14/11/2018;política;Encontraron una bomba en la casa de Claudio Bonadio
137;Se trata de una de las personas que puso el artefacto que explotó en la tumba de Ramón Falcón. ;14/11/2018;policiales;En sillas de ruedas y vendada, trasladaron a la mujer herida por la detonación en el Cementerio de Recoleta
138;La empresaria publicó una foto de su rostro después de someterse a una tratamiento de belleza, pero terminó enseñando un poco más. ;14/11/2018;show;Wanda Nara quiere mostrar una cosa y muestra otra. Ups! 
139;La tumba del exjefe de Policía, que fue asesinado en 1909, quedó dañada producto de la detonación. Los agresores utilizaron caños rellenos con pólvora.;14/11/2018;sociedad;Así quedó el mausoleo de Ramón Falcón tras la explosión en el Cementerio de Recoleta
141;Lo informaron los familiares de los tripulantes. La jueza federal Marta Yañez confirmó que le entregó un reporte con pruebas a Ocean Infinity, encargada del rastrillaje. ;14/11/2018;política;Se buscará el ARA San Juan en el área en la que se escucharon los presuntos golpes en el casco
142;La postulación de Sebastián Argibay había sido impulsada por el Gobierno, pero su nombramiento fue impugnado por Elisa Carrió.;14/11/2018;política;El peronismo avaló la designación de un juez federal para Santiago del Estero
